city;measurement;time;type;stat;kind;radar;speed
Żarnowo Drugie;1;dzien;Jednoślady;Mean;fotoradar;FALSE;30
Żukowo;1;dzien;Jednoślady;Mean;fotoradar;FALSE;44
Aleksandrów;1;dzien;Osobowe;Mean;fotoradar;FALSE;65
Boćki;1;dzien;Osobowe;Mean;fotoradar;FALSE;48
Bratian;1;dzien;Osobowe;Mean;fotoradar;FALSE;51
Cielcza;1;dzien;Osobowe;Mean;fotoradar;FALSE;50
Czerwińsk nad Wisłą;1;dzien;Osobowe;Mean;fotoradar;FALSE;56
Domaradz;1;dzien;Osobowe;Mean;fotoradar;FALSE;79
Egiertowo;1;dzien;Osobowe;Mean;fotoradar;FALSE;48
Gniechowice;1;dzien;Osobowe;Mean;fotoradar;FALSE;50
Jedlińsk;1;dzien;Osobowe;Mean;fotoradar;FALSE;82
Kleczanów;1;dzien;Osobowe;Mean;fotoradar;FALSE;64
Kozienice;1;dzien;Osobowe;Mean;fotoradar;FALSE;43
Kraczkowa;1;dzien;Osobowe;Mean;fotoradar;FALSE;79
Libidza;1;dzien;Osobowe;Mean;fotoradar;FALSE;57
Lubień;1;dzien;Osobowe;Mean;fotoradar;FALSE;68
Lubliniec;1;dzien;Osobowe;Mean;fotoradar;FALSE;82
Łąck;1;dzien;Osobowe;Mean;fotoradar;FALSE;57
Łuszczów Pierwszy;1;dzien;Osobowe;Mean;fotoradar;FALSE;57
Małkowo;1;dzien;Osobowe;Mean;fotoradar;FALSE;69
Mniów;1;dzien;Osobowe;Mean;fotoradar;FALSE;67
Mokrzeszów;1;dzien;Osobowe;Mean;fotoradar;FALSE;50
Nowa Wieś;1;dzien;Osobowe;Mean;fotoradar;FALSE;53
Nowy Targ;1;dzien;Osobowe;Mean;fotoradar;FALSE;59
Ojrzeń;1;dzien;Osobowe;Mean;fotoradar;FALSE;44
Opatów;1;dzien;Osobowe;Mean;fotoradar;FALSE;54
Ostrów Wielkopolski;1;dzien;Osobowe;Mean;fotoradar;FALSE;44
Ostrówek;1;dzien;Osobowe;Mean;fotoradar;FALSE;58
Ożarów;1;dzien;Osobowe;Mean;fotoradar;FALSE;57
Pawłowice;1;dzien;Osobowe;Mean;fotoradar;FALSE;79
Polichna;1;dzien;Osobowe;Mean;fotoradar;FALSE;60
Przasnysz;1;dzien;Osobowe;Mean;fotoradar;FALSE;49
Przerzeczyn Zdrój;1;dzien;Osobowe;Mean;fotoradar;FALSE;56
Przytoczno;1;dzien;Osobowe;Mean;fotoradar;FALSE;75
Samborowo;1;dzien;Osobowe;Mean;fotoradar;FALSE;43
Sławno;1;dzien;Osobowe;Mean;fotoradar;FALSE;98
Słupca;1;dzien;Osobowe;Mean;fotoradar;FALSE;59
Smolice;1;dzien;Osobowe;Mean;fotoradar;FALSE;61
Wilczowola;1;dzien;Osobowe;Mean;fotoradar;FALSE;55
Zbydniów;1;dzien;Osobowe;Mean;fotoradar;FALSE;57
Żarnowo Drugie;1;dzien;Osobowe;Mean;fotoradar;FALSE;51
Żukowo;1;dzien;Osobowe;Mean;fotoradar;FALSE;52
Aleksandrów;1;dzien;Dostawcze;Mean;fotoradar;FALSE;65
Boćki;1;dzien;Dostawcze;Mean;fotoradar;FALSE;49
Bratian;1;dzien;Dostawcze;Mean;fotoradar;FALSE;51
Cielcza;1;dzien;Dostawcze;Mean;fotoradar;FALSE;51
Czerwińsk nad Wisłą;1;dzien;Dostawcze;Mean;fotoradar;FALSE;56
Domaradz;1;dzien;Dostawcze;Mean;fotoradar;FALSE;78
Egiertowo;1;dzien;Dostawcze;Mean;fotoradar;FALSE;48
Gniechowice;1;dzien;Dostawcze;Mean;fotoradar;FALSE;49
Jedlińsk;1;dzien;Dostawcze;Mean;fotoradar;FALSE;86
Kleczanów;1;dzien;Dostawcze;Mean;fotoradar;FALSE;62
Kozienice;1;dzien;Dostawcze;Mean;fotoradar;FALSE;43
Kraczkowa;1;dzien;Dostawcze;Mean;fotoradar;FALSE;88
Libidza;1;dzien;Dostawcze;Mean;fotoradar;FALSE;56
Lubień;1;dzien;Dostawcze;Mean;fotoradar;FALSE;67
Lubliniec;1;dzien;Dostawcze;Mean;fotoradar;FALSE;83
Łąck;1;dzien;Dostawcze;Mean;fotoradar;FALSE;56
Łuszczów Pierwszy;1;dzien;Dostawcze;Mean;fotoradar;FALSE;56
Małkowo;1;dzien;Dostawcze;Mean;fotoradar;FALSE;70
Mniów;1;dzien;Dostawcze;Mean;fotoradar;FALSE;66
Mokrzeszów;1;dzien;Dostawcze;Mean;fotoradar;FALSE;50
Nowa Wieś;1;dzien;Dostawcze;Mean;fotoradar;FALSE;53
Nowy Targ;1;dzien;Dostawcze;Mean;fotoradar;FALSE;58
Ojrzeń;1;dzien;Dostawcze;Mean;fotoradar;FALSE;43
Opatów;1;dzien;Dostawcze;Mean;fotoradar;FALSE;55
Ostrów Wielkopolski;1;dzien;Dostawcze;Mean;fotoradar;FALSE;44
Ostrówek;1;dzien;Dostawcze;Mean;fotoradar;FALSE;59
Ożarów;1;dzien;Dostawcze;Mean;fotoradar;FALSE;56
Pawłowice;1;dzien;Dostawcze;Mean;fotoradar;FALSE;81
Polichna;1;dzien;Dostawcze;Mean;fotoradar;FALSE;60
Przasnysz;1;dzien;Dostawcze;Mean;fotoradar;FALSE;50
Przerzeczyn Zdrój;1;dzien;Dostawcze;Mean;fotoradar;FALSE;56
Przytoczno;1;dzien;Dostawcze;Mean;fotoradar;FALSE;65
Samborowo;1;dzien;Dostawcze;Mean;fotoradar;FALSE;43
Sławno;1;dzien;Dostawcze;Mean;fotoradar;FALSE;95
Słupca;1;dzien;Dostawcze;Mean;fotoradar;FALSE;57
Smolice;1;dzien;Dostawcze;Mean;fotoradar;FALSE;64
Wilczowola;1;dzien;Dostawcze;Mean;fotoradar;FALSE;56
Zbydniów;1;dzien;Dostawcze;Mean;fotoradar;FALSE;58
Żarnowo Drugie;1;dzien;Dostawcze;Mean;fotoradar;FALSE;51
Żukowo;1;dzien;Dostawcze;Mean;fotoradar;FALSE;51
Aleksandrów;1;dzien;Ciężarowe;Mean;fotoradar;FALSE;65
Boćki;1;dzien;Ciężarowe;Mean;fotoradar;FALSE;50
Bratian;1;dzien;Ciężarowe;Mean;fotoradar;FALSE;51
Cielcza;1;dzien;Ciężarowe;Mean;fotoradar;FALSE;53
Czerwińsk nad Wisłą;1;dzien;Ciężarowe;Mean;fotoradar;FALSE;57
Domaradz;1;dzien;Ciężarowe;Mean;fotoradar;FALSE;75
Egiertowo;1;dzien;Ciężarowe;Mean;fotoradar;FALSE;47
Gniechowice;1;dzien;Ciężarowe;Mean;fotoradar;FALSE;50
Jedlińsk;1;dzien;Ciężarowe;Mean;fotoradar;FALSE;78
Kleczanów;1;dzien;Ciężarowe;Mean;fotoradar;FALSE;61
Kozienice;1;dzien;Ciężarowe;Mean;fotoradar;FALSE;43
Kraczkowa;1;dzien;Ciężarowe;Mean;fotoradar;FALSE;76
Libidza;1;dzien;Ciężarowe;Mean;fotoradar;FALSE;57
Lubień;1;dzien;Ciężarowe;Mean;fotoradar;FALSE;66
Lubliniec;1;dzien;Ciężarowe;Mean;fotoradar;FALSE;76
Łąck;1;dzien;Ciężarowe;Mean;fotoradar;FALSE;58
Łuszczów Pierwszy;1;dzien;Ciężarowe;Mean;fotoradar;FALSE;54
Małkowo;1;dzien;Ciężarowe;Mean;fotoradar;FALSE;66
Mniów;1;dzien;Ciężarowe;Mean;fotoradar;FALSE;68
Mokrzeszów;1;dzien;Ciężarowe;Mean;fotoradar;FALSE;49
Nowa Wieś;1;dzien;Ciężarowe;Mean;fotoradar;FALSE;52
Nowy Targ;1;dzien;Ciężarowe;Mean;fotoradar;FALSE;60
Ojrzeń;1;dzien;Ciężarowe;Mean;fotoradar;FALSE;42
Opatów;1;dzien;Ciężarowe;Mean;fotoradar;FALSE;53
Ostrów Wielkopolski;1;dzien;Ciężarowe;Mean;fotoradar;FALSE;45
Ostrówek;1;dzien;Ciężarowe;Mean;fotoradar;FALSE;59
Ożarów;1;dzien;Ciężarowe;Mean;fotoradar;FALSE;56
Pawłowice;1;dzien;Ciężarowe;Mean;fotoradar;FALSE;72
Polichna;1;dzien;Ciężarowe;Mean;fotoradar;FALSE;59
Przasnysz;1;dzien;Ciężarowe;Mean;fotoradar;FALSE;49
Przerzeczyn Zdrój;1;dzien;Ciężarowe;Mean;fotoradar;FALSE;57
Przytoczno;1;dzien;Ciężarowe;Mean;fotoradar;FALSE;69
Samborowo;1;dzien;Ciężarowe;Mean;fotoradar;FALSE;42
Sławno;1;dzien;Ciężarowe;Mean;fotoradar;FALSE;88
Słupca;1;dzien;Ciężarowe;Mean;fotoradar;FALSE;57
Smolice;1;dzien;Ciężarowe;Mean;fotoradar;FALSE;61
Wilczowola;1;dzien;Ciężarowe;Mean;fotoradar;FALSE;53
Zbydniów;1;dzien;Ciężarowe;Mean;fotoradar;FALSE;56
Żarnowo Drugie;1;dzien;Ciężarowe;Mean;fotoradar;FALSE;53
